REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S1D5,ELCBGDXX03,2041,21.3682788
GLOBAL,S2D1,ELCBGDXX03,2041,77.7412512
GLOBAL,S2D2,ELCBGDXX03,2041,135.1719522
GLOBAL,S2D3,ELCBGDXX03,2041,39.7494648
GLOBAL,S2D4,ELCBGDXX03,2041,28.250117999999997
GLOBAL,S2D5,ELCBGDXX03,2041,24.817602599999997
GLOBAL,S3D1,ELCBGDXX03,2041,112.86600479999998
GLOBAL,S3D2,ELCBGDXX03,2041,186.4423746
GLOBAL,S3D3,ELCBGDXX03,2041,53.4531132
GLOBAL,S3D4,ELCBGDXX03,2041,39.469725
GLOBAL,S3D5,ELCBGDXX03,2041,35.6734278
GLOBAL,S4D1,ELCBGDXX03,2041,46.93865759999999
GLOBAL,S4D2,ELCBGDXX03,2041,83.3804694
GLOBAL,S4D3,ELCBGDXX03,2041,25.6904388
GLOBAL,S4D4,ELCBGDXX03,2041,17.359475399999997
GLOBAL,S4D5,ELCBGDXX03,2041,15.2031978
GLOBAL,S1D1,ELCBGDXX03,2042,65.502419364
GLOBAL,S1D2,ELCBGDXX03,2042,134.502407044
GLOBAL,S1D3,ELCBGDXX03,2042,40.610097974
GLOBAL,S1D4,ELCBGDXX03,2042,27.372164924000003
GLOBAL,S1D5,ELCBGDXX03,2042,22.279785572
GLOBAL,S2D1,ELCBGDXX03,2042,81.05746012800002
GLOBAL,S2D2,ELCBGDXX03,2042,140.93798281800002
GLOBAL,S2D3,ELCBGDXX03,2042,41.445057912
GLOBAL,S2D4,ELCBGDXX03,2042,29.45518342
GLOBAL,S2D5,ELCBGDXX03,2042,25.876247194
GLOBAL,S3D1,ELCBGDXX03,2042,117.680530512
GLOBAL,S3D2,ELCBGDXX03,2042,194.39544787400004
GLOBAL,S3D3,ELCBGDXX03,2042,55.733262908
GLOBAL,S3D4,ELCBGDXX03,2042,41.15338525000001
GLOBAL,S3D5,ELCBGDXX03,2042,37.195149382000004
GLOBAL,S4D1,ELCBGDXX03,2042,48.940920144
GLOBAL,S4D2,ELCBGDXX03,2042,86.937230486
GLOBAL,S4D3,ELCBGDXX03,2042,26.786315972
GLOBAL,S4D4,ELCBGDXX03,2042,18.099978626000002
GLOBAL,S4D5,ELCBGDXX03,2042,15.851720682000002
GLOBAL,S1D1,ELCBGDXX03,2043,68.296523112
GLOBAL,S1D2,ELCBGDXX03,2043,140.239808552
GLOBAL,S1D3,ELCBGDXX03,2043,42.342382492
GLOBAL,S1D4,ELCBGDXX03,2043,28.539765592
GLOBAL,S1D5,ELCBGDXX03,2043,23.230163176
GLOBAL,S2D1,ELCBGDXX03,2043,84.515087424
GLOBAL,S2D2,ELCBGDXX03,2043,146.949903444
GLOBAL,S2D3,ELCBGDXX03,2043,43.212958895999996
GLOBAL,S2D4,ELCBGDXX03,2043,30.71163836
GLOBAL,S2D5,ELCBGDXX03,2043,26.980037252
GLOBAL,S3D1,ELCBGDXX03,2043,122.700369696
GLOBAL,S3D2,ELCBGDXX03,2043,202.68767669200003
GLOBAL,S3D3,ELCBGDXX03,2043,58.110648663999996
GLOBAL,S3D4,ELCBGDXX03,2043,42.9088445
GLOBAL,S3D5,ELCBGDXX03,2043,38.781764156
GLOBAL,S4D1,ELCBGDXX03,2043,51.028568352
GLOBAL,S4D2,ELCBGDXX03,2043,90.645668188
GLOBAL,S4D3,ELCBGDXX03,2043,27.928926376
GLOBAL,S4D4,ELCBGDXX03,2043,18.872060308
GLOBAL,S4D5,ELCBGDXX03,2043,16.527899556
GLOBAL,S1D1,ELCBGDXX03,2044,71.20982548799999
GLOBAL,S1D2,ELCBGDXX03,2044,146.221972048
GLOBAL,S1D3,ELCBGDXX03,2044,44.14856760799999
GLOBAL,S1D4,ELCBGDXX03,2044,29.757177008
GLOBAL,S1D5,ELCBGDXX03,2044,24.221084624
GLOBAL,S2D1,ELCBGDXX03,2044,88.120219776
GLOBAL,S2D2,ELCBGDXX03,2044,153.218297256
GLOBAL,S2D3,ELCBGDXX03,2044,45.05627990399999
GLOBAL,S2D4,ELCBGDXX03,2044,32.02169464
GLOBAL,S2D5,ELCBGDXX03,2044,28.130915847999997
GLOBAL,S3D1,ELCBGDXX03,2044,127.93435910399998
GLOBAL,S3D2,ELCBGDXX03,2044,211.333658408
GLOBAL,S3D3,ELCBGDXX03,2044,60.589455535999996
GLOBAL,S3D4,ELCBGDXX03,2044,44.739193
GLOBAL,S3D5,ELCBGDXX03,2044,40.436065144
GLOBAL,S4D1,ELCBGDXX03,2044,53.205277247999994
