REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S4D3,DSPTRNBGDXX,1,2029,284.8706219531771
GLOBAL,S4D4,DSPTRNBGDXX,1,2029,293.6641782371486
GLOBAL,S4D5,DSPTRNBGDXX,1,2029,296.92029530879563
GLOBAL,S1D1,DSPTRNBGDXX,2,2029,364.01527742451566
GLOBAL,S1D2,DSPTRNBGDXX,2,2029,318.607407531955
GLOBAL,S1D3,DSPTRNBGDXX,2,2029,367.4741125753964
GLOBAL,S1D4,DSPTRNBGDXX,2,2029,368.95785163251566
GLOBAL,S1D5,DSPTRNBGDXX,2,2029,327.246832036234
GLOBAL,S2D1,DSPTRNBGDXX,2,2029,352.1597095963149
GLOBAL,S2D2,DSPTRNBGDXX,2,2029,267.420986208327
GLOBAL,S2D3,DSPTRNBGDXX,2,2029,181.5324940971132
GLOBAL,S2D4,DSPTRNBGDXX,2,2029,136.9658231909367
GLOBAL,S2D5,DSPTRNBGDXX,2,2029,111.39005003387769
GLOBAL,S3D1,DSPTRNBGDXX,2,2029,368.9578516325156
GLOBAL,S3D2,DSPTRNBGDXX,2,2029,364.01527742451566
GLOBAL,S3D3,DSPTRNBGDXX,2,2029,367.75948363251575
GLOBAL,S3D4,DSPTRNBGDXX,2,2029,368.95785163251566
GLOBAL,S3D5,DSPTRNBGDXX,2,2029,368.95785163251566
GLOBAL,S4D1,DSPTRNBGDXX,2,2029,364.01527742451566
GLOBAL,S4D2,DSPTRNBGDXX,2,2029,364.01527742451566
GLOBAL,S4D3,DSPTRNBGDXX,2,2029,364.01527742451566
GLOBAL,S4D4,DSPTRNBGDXX,2,2029,364.01527742451566
GLOBAL,S4D5,DSPTRNBGDXX,2,2029,279.0666295852949
GLOBAL,S1D1,DSPTRNBGDXX,1,2030,163.84648231533464
GLOBAL,S1D2,DSPTRNBGDXX,1,2030,232.7689751038386
GLOBAL,S1D3,DSPTRNBGDXX,1,2030,299.471382684
GLOBAL,S1D4,DSPTRNBGDXX,1,2030,304.5419536592131
GLOBAL,S1D5,DSPTRNBGDXX,1,2030,221.49539844335996
GLOBAL,S2D1,DSPTRNBGDXX,1,2030,388.8975945489876
GLOBAL,S2D2,DSPTRNBGDXX,1,2030,350.895269376
GLOBAL,S2D3,DSPTRNBGDXX,1,2030,717.1198930523376
GLOBAL,S2D4,DSPTRNBGDXX,1,2030,721.7620454926757
GLOBAL,S2D5,DSPTRNBGDXX,1,2030,671.9911438228993
GLOBAL,S3D1,DSPTRNBGDXX,1,2030,345.71447522236423
GLOBAL,S3D2,DSPTRNBGDXX,1,2030,312.8938926516892
GLOBAL,S3D3,DSPTRNBGDXX,1,2030,307.92169418832
GLOBAL,S3D4,DSPTRNBGDXX,1,2030,383.08940018825786
GLOBAL,S3D5,DSPTRNBGDXX,1,2030,306.29959333825406
GLOBAL,S4D1,DSPTRNBGDXX,1,2030,222.62546761087705
GLOBAL,S4D2,DSPTRNBGDXX,1,2030,237.49710279552176
GLOBAL,S4D3,DSPTRNBGDXX,1,2030,304.65128957472
GLOBAL,S4D4,DSPTRNBGDXX,1,2030,304.7576945616
GLOBAL,S4D5,DSPTRNBGDXX,1,2030,229.1189754168
GLOBAL,S1D1,DSPTRNBGDXX,2,2030,410.3440218699876
GLOBAL,S1D2,DSPTRNBGDXX,2,2030,410.3440218699876
GLOBAL,S1D3,DSPTRNBGDXX,2,2030,412.50026224494695
GLOBAL,S1D4,DSPTRNBGDXX,2,2030,415.2865960779876
GLOBAL,S1D5,DSPTRNBGDXX,2,2030,364.4146229699163
GLOBAL,S2D1,DSPTRNBGDXX,2,2030,306.1994137348857
GLOBAL,S2D2,DSPTRNBGDXX,2,2030,308.34169474432014
GLOBAL,S2D4,DSPTRNBGDXX,2,2030,37.253891055765166
GLOBAL,S3D1,DSPTRNBGDXX,2,2030,415.2865960779876
GLOBAL,S3D2,DSPTRNBGDXX,2,2030,372.7966217220542
GLOBAL,S3D3,DSPTRNBGDXX,2,2030,412.8954638500228
GLOBAL,S3D4,DSPTRNBGDXX,2,2030,415.2865960779875
GLOBAL,S3D5,DSPTRNBGDXX,2,2030,415.28659607798767
GLOBAL,S4D1,DSPTRNBGDXX,2,2030,410.3440218699876
GLOBAL,S4D2,DSPTRNBGDXX,2,2030,375.80979242367454
GLOBAL,S4D3,DSPTRNBGDXX,2,2030,388.2382805545285
GLOBAL,S4D4,DSPTRNBGDXX,2,2030,397.5217597358079
GLOBAL,S4D5,DSPTRNBGDXX,2,2030,385.9280354254488
GLOBAL,S1D1,DSPTRNBGDXX,1,2031,181.4722654999332
GLOBAL,S1D2,DSPTRNBGDXX,1,2031,254.08501144291512
GLOBAL,S1D3,DSPTRNBGDXX,1,2031,332.8771799016612
GLOBAL,S1D4,DSPTRNBGDXX,1,2031,328.76713174044386
GLOBAL,S1D5,DSPTRNBGDXX,1,2031,194.4039185359743
GLOBAL,S2D1,DSPTRNBGDXX,1,2031,720.2197201097549
GLOBAL,S2D2,DSPTRNBGDXX,1,2031,351.69176372112
GLOBAL,S2D3,DSPTRNBGDXX,1,2031,780.7897831474853
GLOBAL,S2D4,DSPTRNBGDXX,1,2031,936.2059004178604
GLOBAL,S2D5,DSPTRNBGDXX,1,2031,837.9967321259646
GLOBAL,S3D1,DSPTRNBGDXX,1,2031,372.1441154672372
GLOBAL,S3D2,DSPTRNBGDXX,1,2031,298.94221739642046
GLOBAL,S3D3,DSPTRNBGDXX,1,2031,329.8086721796185
GLOBAL,S3D4,DSPTRNBGDXX,1,2031,411.5201714017534
GLOBAL,S3D5,DSPTRNBGDXX,1,2031,330.6188790918513
GLOBAL,S4D1,DSPTRNBGDXX,1,2031,240.0996923793708
GLOBAL,S4D2,DSPTRNBGDXX,1,2031,222.6830292061284
GLOBAL,S4D3,DSPTRNBGDXX,1,2031,305.11152501264
GLOBAL,S4D4,DSPTRNBGDXX,1,2031,310.27842134790114
GLOBAL,S4D5,DSPTRNBGDXX,1,2031,224.51631422725893
GLOBAL,S1D1,DSPTRNBGDXX,2,2031,423.4615886951223
GLOBAL,S1D2,DSPTRNBGDXX,2,2031,423.46158869512095
GLOBAL,S1D3,DSPTRNBGDXX,2,2031,417.214902961229
GLOBAL,S1D4,DSPTRNBGDXX,2,2031,429.6025309031224
GLOBAL,S1D5,DSPTRNBGDXX,2,2031,422.8769401364026
GLOBAL,S2D1,DSPTRNBGDXX,2,2031,12.094223077473316
GLOBAL,S2D2,DSPTRNBGDXX,2,2031,342.8421141927513
GLOBAL,S3D1,DSPTRNBGDXX,2,2031,429.60253090312256
GLOBAL,S3D2,DSPTRNBGDXX,2,2031,423.4615886951223
GLOBAL,S3D3,DSPTRNBGDXX,2,2031,429.6025309031224
GLOBAL,S3D4,DSPTRNBGDXX,2,2031,429.6025309031221
GLOBAL,S3D5,DSPTRNBGDXX,2,2031,429.6025309031224
GLOBAL,S4D1,DSPTRNBGDXX,2,2031,426.76029584494165
GLOBAL,S4D2,DSPTRNBGDXX,2,2031,423.4615886951222
GLOBAL,S4D3,DSPTRNBGDXX,2,2031,424.87678920468886
GLOBAL,S4D4,DSPTRNBGDXX,2,2031,429.6025309031221
GLOBAL,S4D5,DSPTRNBGDXX,2,2031,423.461588695122
GLOBAL,S1D1,DSPTRNBGDXX,1,2032,207.22776016387692
GLOBAL,S1D2,DSPTRNBGDXX,1,2032,290.97982411532234
GLOBAL,S1D3,DSPTRNBGDXX,1,2032,374.2702792568436
GLOBAL,S1D4,DSPTRNBGDXX,1,2032,384.65615985058326
GLOBAL,S1D5,DSPTRNBGDXX,1,2032,228.0593517391333
GLOBAL,S2D1,DSPTRNBGDXX,1,2032,795.1944104183863
GLOBAL,S2D2,DSPTRNBGDXX,1,2032,309.58808769885974
GLOBAL,S2D3,DSPTRNBGDXX,1,2032,937.8822456940204
GLOBAL,S2D4,DSPTRNBGDXX,1,2032,936.3911012543405
GLOBAL,S2D5,DSPTRNBGDXX,1,2032,936.0160915410603
GLOBAL,S3D1,DSPTRNBGDXX,1,2032,379.7945775366562
GLOBAL,S3D2,DSPTRNBGDXX,1,2032,296.2035778931536
GLOBAL,S3D3,DSPTRNBGDXX,1,2032,336.3907859425824
GLOBAL,S3D4,DSPTRNBGDXX,1,2032,421.2788988190573
GLOBAL,S3D5,DSPTRNBGDXX,1,2032,336.0460048002449
GLOBAL,S4D1,DSPTRNBGDXX,1,2032,237.68584342306383
GLOBAL,S4D2,DSPTRNBGDXX,1,2032,215.86133465573124
