REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINGASIND,1,2044,9.698346094900614
GLOBAL,MINGASIND,1,2045,9.789906370306358
GLOBAL,MINGASIND,1,2046,9.881466645712099
GLOBAL,MINGASIND,1,2047,9.973026921117844
GLOBAL,MINGASIND,1,2048,10.064587196523584
GLOBAL,MINGASIND,1,2049,10.15614747192933
GLOBAL,MINGASIND,1,2050,10.24770774733507
GLOBAL,MINGASINT,1,2023,17.73081239289668
GLOBAL,MINGASINT,1,2024,15.447008874139122
GLOBAL,MINGASINT,1,2025,14.109394484067977
GLOBAL,MINGASINT,1,2026,18.348963452335095
GLOBAL,MINGASINT,1,2027,14.639960790819067
GLOBAL,MINGASINT,1,2028,14.011399715510837
GLOBAL,MINGASINT,1,2029,13.382838640202607
GLOBAL,MINGASINT,1,2030,12.754277564894378
GLOBAL,MINGASINT,1,2031,12.125716489586148
